184,387,323,89.31544,AB,2
181,322,279,78.24717,BC,4
168,355,243,76.59142,BC,4
157,360,230,74.64471,C,5
182,369,282,83.23603,B,3
136,353,219,70.73112,C,5
166,329,246,73.97517,C,5
177,352,257,78.60368,BC,4
156,363,279,79.82979,BC,4
187,392,273,85.24137,AB,2
185,349,270,80.33397,B,3
187,376,345,90.74846,AB,2
58,369,271,69.79589,F,6
167,322,229,71.88715,C,5
174,372,244,79.0316,BC,4
172,372,303,84.67557,B,3
168,403,256,82.67919,B,3
187,403,263,85.33107,AB,2
179,369,311,85.89664,AB,2
185,389,266,84.005,B,3
164,339,240,74.30851,C,5
146,342,172,65.96321,F,6
175,358,284,81.7619,B,3
187,366,260,81.3872,B,3
142,378,243,76.24231,BC,4
175,382,338,89.45872,AB,2
172,364,210,74.60667,C,5
186,336,274,79.59205,BC,4
181,352,301,83.42788,B,3
161,357,303,82.13331,B,3
183,378,289,85.03068,AB,2
189,384,273,84.50431,B,3
190,391,342,92.28277,A,1
172,358,277,80.67369,B,3
172,338,211,72.0569,C,5
181,366,230,77.69947,BC,4
171,335,283,78.90391,BC,4
98,372,259,72.93091,C,5
178,380,264,82.20419,B,3
169,355,278,80.30755,B,3
170,374,278,82.16261,B,3
181,346,233,75.98598,BC,4
188,382,311,88.15205,AB,2
155,325,283,76.28576,BC,4
188,358,310,85.57155,AB,2
168,379,280,82.70373,B,3
179,373,258,81.00151,B,3
193,362,279,83.34086,B,3
153,369,284,80.65919,B,3
180,385,348,91.25828,AB,2
189,355,252,79.62017,BC,4
176,357,261,79.35137,BC,4
185,374,253,81.22504,B,3
119,362,287,76.74621,BC,4
148,373,257,77.73254,BC,4
150,332,229,71.1252,C,5
154,362,316,83.13352,B,3
156,376,269,80.17092,B,3
187,376,321,88.33892,AB,2
179,365,265,80.81321,B,3
172,382,323,87.68871,AB,2
